Title,Categories,Intro,Merchant,Delivery Type,Transaction Number,Rating Count,Product Score,Price Number,Price Unit,Price Others
LEAN MES精益制造执行系统,"['联营商品', '智能制造', '', '', '']",深科特LEAN MES精益制造执行系统聚焦电子制造、机械加工、注塑冲压行业，满足制造业对数字化工厂转型的需求。,深圳市深科特信息技术有限公司,License,33,0,,10000,￥,/年
用户增长服务,"['华为商品', '技术支持']",用户增长服务致力于为企业客户提供用户增长运营的服务与经验，基于华为云专业的用户运营经验沉淀与平台技术能力，助力企业发展，提升客户品牌形象及用户规模，实现降本增效。,华为云计算技术有限公司,人工服务,1955,0,,10000,￥,/次
华为云开发者创新中心-生态服务,"['华为商品', '数字校园', '教育', '', '', '', '']",聚焦自主全栈技术体系，以技术服务，助力数字化产业升级，以全栈云技术为底座、承载鸿蒙、欧拉、昇腾、高斯、鲲鹏、HMS等6大华为特色、助力国产自主技术生态，以方案共建、产品共销、市场共营、人才共培为核心，支持企业上云、产业人才培养和数字化转型,华为云计算技术有限公司,人工服务,646,0,,100000,￥,/次
CAXA PLM协同管理解决方案-按次版,"['联营商品', '数据采集', '', '', '', '', '', '', '', '']",以产品数据为核心，解决从用户需求、订单信息、产品开发、工艺设计、生产制造、维护维修整个生命周期过程中的不同类型数据管理、过程管理以及跨部门跨区域和供应链协同工作的软件系统及解决方案,北京数码大方科技股份有限公司,License,53,0,,218000,￥,/次
华为云人才培养方案,"['组合购商品', '教育']",聚焦自主全栈技术体系，以技术服务，助力数字化产业升级，以全栈云技术为底座、承载鸿蒙、欧拉、昇腾、高斯、鲲鹏、HMS等6大华为特色，支持企业上云、产业人才培养和数字化转型,华为云计算技术有限公司,人工服务,0,0,,100000,￥,/起
华为开发者创新中心,"['华为商品', '智慧教室', '', '', '', '', '', '']",通过互动体验+动手实操创新教学方式，让开发者能够直观体验华为云、HMS、鸿蒙等新技术带来的场景革新，并通过体系化理论+实操课程掌握相应技术领域知识，培养有动手能力的创新型人才,华为云计算技术有限公司,SaaS,210,0,,3540000,￥,/次
华为开发者创新中心组合商品-GaussDB,"['组合购商品', '智能制造', '', '', '']",组合商品开发者创新中心-GaussDB：聚焦专业数据库应用开发与管理人才，多重选择多维就业方向,华为云计算技术有限公司,SaaS,0,0,,3540000,￥,/起
华为开发者创新中心组合商品,"['组合购商品', '智能制造', '', '']",组合商品开发者创新中心-PaaS：源于华为应用开发和数字化转型的实践，提供低代码开发、全代码开发、DevOps开发、智能化开发、云原生开发等PaaS服务相关的课程,华为云计算技术有限公司,SaaS,0,0,,3540000,￥,/起
华为开发者创新中心+鸿蒙展厅及实训室设备,"['组合购商品', '教育', '安防监控', '']",通过互动体验+动手实操创新教学方式，让开发者能够直观体验华为云、HMS、鸿蒙等新技术带来的场景革新，并通过体系化理论+实操课程掌握相应技术领域知识，培养有动手能力的创新型人才,华为云计算技术有限公司,SaaS,0,0,,3540000,￥,/起
智能驾驶实训课程与开发套件组合购,"['组合购商品', '教育', '数字校园']",基于华为MDC和智能网联汽车上游、中游、下游核心岗位的典型工作任务，建设了驾驶编程基础实训室、智能网联驾驶感知及通信实训室、智能驾驶智能汽车实训室共3个实训室。,华为云计算技术有限公司,SaaS,0,0,,3540000,￥,/起
华为开发者创新中心-组合商品,"['组合购商品', '教育']",通过互动体验+动手实操创新教学方式，让开发者能够直观体验华为云、HMS、鸿蒙等新技术带来的场景革新，并通过体系化理论+实操课程掌握相应技术领域知识，培养有动手能力的创新型人才,华为云计算技术有限公司,SaaS,0,0,,3540000,￥,/起
泛太鸿蒙智能驾驶座舱,"['组合购商品', '教育']",泛太鸿蒙智能驾驶座舱 是面向智能网联汽车时代到来，结合华为的鸿蒙生态，所开发的供给学生熟悉掌握鸿蒙基本操作、无人驾驶及网联汽车基本架构的教学工程实训硬件产品。,华为云计算技术有限公司,SaaS,0,0,,3540000,￥,/起
华为开发者创新中心+配套硬件,"['组合购商品', '数字校园']",通过互动展厅+动手实验室创新教学方式，让开发者能够直观体验华为云、HMS、鸿蒙等新技术带来的场景革新，并通过体系化理论+实操课程掌握相应技术领域知识，培养有动手能力的创新型人才。,华为云计算技术有限公司,SaaS,0,0,,3540000,￥,/起
华为云差旅服务,"['华为商品', '智能财务', '', '', '', '', '', '', '', '']",华为云慧通差旅服务，为企业提供开通配置、系统对接等一站式的量身定制差旅服务。,华为云计算技术有限公司,人工服务,540,0,,100000,￥,/次
上云SD-WAN服务(HCS版),"['联营商品', '技术支持', '', '', '', '', '', '']",上云SD-WAN服务(HCS版)是在SDWAN技术基础上，兼容MPLS VPN、Internet、MSTP、5G通过光联高速骨干，实现企业分支之间、分支与华为云的全托管云网组网服务,深圳市光联世纪信息科技有限公司,人工服务,11,0,,800,￥,/月
千机CAM软件,"['联营商品', '智能制造']",千机CAM软件是国内首款面向航空发动机核心零部件的商用CAM软件，具有智能化编程、精确测量与评价、强适应性后处理等功能，覆盖全工序加工，已在中国航发、航天科工等大型央企得到大规模推广应用。,苏州千机智能技术有限公司,License,2,0,,180000,￥,/次
创芯人智能制造综合平台配套服务,"['联营商品', '智能制造']",创芯人智能制造综合平台配套服务打造生产一站式服务，总体目标实现：生产过程全程追溯、减少依赖人员经验、可视化实时获取信息、流程化管理，防呆防错、提高利用率、提高场地利用率、快速出库入库、精准库存、系统化，信息化。,深圳市创芯人科技有限公司,人工服务,13,0,,3000,￥,/次
Smartbi Insight 商业智能与大数据分析软件,"['联营商品', '金融', 'AI专区']",连续2次入选Gartner“AI创业公司代表厂商”、“Gartner 增强分析代表厂商”。,广州思迈特软件有限公司,License,6,0,,68000,￥,/年
中望3D平台设计软件,"['联营商品', '智能制造', '', '']",中望3D平台设计软件V2023,广州中望龙腾软件股份有限公司,License,260,0,,38800,￥,/次
华为云企业门户设计与实施服务,"['华为商品', '定制建站', '', '', '']",华为云企业门户设计与实施服务是一款定制建站服务，提供一对一企业建站解决方案支持，定制企业专属门户。,华为云计算技术有限公司,人工服务,199,0,,3980,￥,/次
数字化人才培养服务,"['华为商品', '教育']",数字化人才培养云平台为院校、政府、企业及ISV伙伴提供平台&内容一体化赋能培训服务平台，提高校/高职、产业与企业群体的人才培养效率。,华为云计算技术有限公司,SaaS,797,0,,3963,￥,/月
华为云敏捷与DevOps培训服务,"['华为商品', '培训与认证', '', '', '']",提供DevOps高级工程师认证、产品技术和高层研修班培训，助力企业从思想、文化、组织到工作方式上的转型，深入理解敏捷、DevOps、集成产品开发管理等先进模式，提升企业产品研发效能,华为云计算技术有限公司,人工服务,380,0,,256180,￥,/次
教育数字化监管应用模板服务,"['华为商品', '智慧教室', '', '', '', '', '', '']",面向教育局、学校提供教育驾驶舱，支持查看主题化看板和报表，了解各类监管指标运行情况，协助教育主管部门建立对校外培训机构办学行为和教学质量的长效监控机制，提升对校外培训机构的治理水平。,华为云计算技术有限公司,SaaS,239,0,,40000,￥,/月
数字化营销平台-逻辑多租,"['华为商品', '信息化管理']",华为云数字化营销平台基于数据驱动的全域、全渠道、用户全生命周期的营销解决方案。围绕用户全生命周期的营销赋能，助力云上企业发育“蝴蝶形”自主增长能力。,华为云计算技术有限公司,SaaS,57,0,,300000,￥,/年
华为开发者创新中心-创新训练营,"['华为商品', '智慧家居', '金融', '', '', '', '']",基于华为开发者创新中心产品与服务，提供相关的培训、认证及人才培养服务，助力华为开发者产品与技术进行综合创新的应用型人才培养。,华为云计算技术有限公司,人工服务,39,0,,214900,￥,/次
华为云WeLink培训服务,"['华为商品', '上云培训', '培训课程']",以华为数字化转型与协同办公实践为例，探索企业数字化转型方向，提升客户决策信心及基于企业自身现状设计转型路线的能力。,华为云计算技术有限公司,人工服务,39,0,,250000,￥,/次
3DCC基于三维数模的公差仿真,"['联营商品', '智能制造', '']",3DCC是基于三维数模的公差仿真系统，⽀持⾃动建模、尺⼨链建模、虚拟装配建模三种建模⽅式，实现了基于PMI的尺寸链自动生成和求解。,深圳诚智鹏软件技术有限公司,License,7,0,,138000,￥,/年
AladdinSite 企业Web应用工厂配套服务,"['联营商品', '自助建站', '', '', '', '']",涵盖设计、开发、实施、运维及维保，助力企业个性化门户配置，优化决策、知识与工作管理。,广州傲程软件技术有限公司,人工服务,2,0,,4000,￥,/次
一砂多因子认证平台专业服务,"['联营商品', '智能制造', '', '', '', '', '']",本服务实现企业对多算法引擎及能力开发模版整合。统一接口，整合算法，支持不同算法间灵活调用并对外提供能力，提供人工远程部署/现场部署服务，快速触达客户，提高服务效率。,北京一砂信息技术有限公司,人工服务,4,0,,500000,￥,/次
链宇企业数字化转型咨询服务,"['联营商品', '智能制造', '']",链宇企业数字化转型咨询服务以数字化转型“V模型”为指引，为企业提供包括业务架构、信息架构、应用架构、技术架构在内的一体化数字化转型咨询服务,深圳市链宇技术有限公司,人工服务,4,0,,15000,￥,/次
新零售解决方案配套人工服务,"['联营商品', '智慧零售', '', '']",基于华为云MetaRetail新零售解决方案五大套件SaaS产品提供配套的专家服务,欧电云信息科技（江苏）有限公司,人工服务,2,0,,5000,￥,/次
LEAN MES精益制造执行系统配套服务,"['联营商品', '智能制造', '', '', '']",深科特可为制造业提供MES人工实施配套服务，为实现MES快速落地交付提供保障。,深圳市深科特信息技术有限公司,人工服务,9,0,,4500,￥,/次
华天软件Inforcenter PLM解决方案,"['联营商品', '信息化管理', '', '', '', '']",华天软件Inforcenter PLM解决方案是面向制造业产品全生命周期管理业务过程，旨在为企业提供从需求收集、产品设计、工艺设计到车间生产的智能制造管理平台。,山东山大华天软件有限公司,License,58,0,,9333,￥,/年
致远协同管理软件配套服务,"['联营商品', '信息化管理', '', '', '', '', '', '', '', '']","致远协同管理软件包含面向中小企业组织的A6+，面向中大型企业和集团型企业组织的A8+，政务系列产品G6+,帮助大中小型企业、政快速构建统一信息门户、多系统集成整合、协同共享应用等。",北京致远互联软件股份有限公司,人工服务,45,0,,3000,￥,/次
微赞直播配套服务,"['联营商品', '教育', '智慧零售', '', '']",微赞直播配套服务，提供一站式企业直播解决方案，覆盖多直播场景，专业全案服务团队为直播保驾护航提供直播营销、执行指导。,广州赞赏信息科技有限公司,人工服务,12,0,,8000,￥,/次
渲云云桌面渲染服务,"['联营商品', '游戏云', '智能制造']",渲云面向建筑设计、VR/AR、互动游戏、影视动漫、工业设计等多领域三维内容制作，提供高效便捷的云端渲染服务。,江苏赞奇科技股份有限公司,SaaS,249,0,,11.52,￥,/次
aPaaS基础产品运维与管理服务,"['华为商品', '最后一公里', '', '', '']",aPaaS基础产品运维与实施服务主要提供数字机器人运维与管理服务，主要包括：标准运维服务（简单）、标准运维服务（复杂）、场景化机器人-简单、场景化机器人-复杂、3个场景化机器人（简单）打包、10个场景化机器人（复杂）打包,华为云计算技术有限公司,人工服务,13,0,,50000,￥,/年
创芯人智能制造综合平台,"['联营商品', '智能制造', '']",创芯人智能制造综合平台打造生产一站式服务，总体目标实现：生产过程全程追溯、减少依赖人员经验、可视化实时获取信息、流程化管理，防呆防错、提高利用率、提高场地利用率、快速出库入库、精准库存、系统化，信息化。,深圳市创芯人科技有限公司,SaaS,21,0,,100000,￥,/年
微吼直播轻享系统配套服务,"['联营商品', '智能制造', '', '', '', '']",微吼直播是企业级视频直播平台，为企业客户提供数字学习技术和数字营销云解决方案，应用场景包括企业内外训、峰会现场、营销一体化、电商直播等，赋能企业增长，助力数字化转型。,北京微吼时代科技有限公司,人工服务,200,0,,8000,￥,/次
东方通应用服务器软件,"['联营商品', '软件开发', 'Java', '', '']",TongWeb支持Java EE6、JavaEE7规范。纯自主研发，符合国家相关政策要求。该产品已经与鲲鹏云完成兼容性认证，可完美运行在华为鲲鹏云上。,北京东方通科技股份有限公司,License,45,0,,2700,￥,/月
鼎捷软件实施服务,"['联营商品', '智能制造', '', '', '']",关注企业「全生命周期」 以「客户效益」为核心 为企业提供全程价值服务,鼎捷数智股份有限公司,人工服务,113,0,,7000,￥,/次
中软应用改造及数字化升级服务,"['联营商品', '数据采集', '', '']",中软国际深度参与企业应用改造及数字化升级，为企业引入先进的技术和应用，实现业务、管理和数据的转型升级，以提升竞争力、提高运营效率、降低成本‌。,中软国际科技服务有限公司,人工服务,3,0,,5300,￥,/次
夺冠互动定制开发服务,"['联营商品', '小程序', '个人网站', '', '', '', '', '']",为客户提供功能开发和UI设计服务，从定制商机挖掘、需求沟通、定制方案整理、复核方案并报价、项目签署开发，到项目交付和全周期服务，为客户打造私人定制的高品质产品。,河南夺冠互动网络科技有限公司,人工服务,29,0,,1000,￥,/年
迅响响应式建站人工服务,"['联营商品', '教育', '小程序', '', '', '', '', '']",【咨询电话：13424460058】H5响应式定制网站，静态缓存响应快，不同分辨率屏幕自动适应，颜值高品质更高。,广州迅响信息科技有限公司,人工服务,1679,33,5,3000,￥,/次
金蝶软件实施服务,"['联营商品', '智能制造', '', '', '', '', '', '', '', '']",实施服务将由金蝶或金蝶授权的服务组织完成，在购买之前，必须经过金蝶或金蝶授权的服务组织的项目评估，未经过项目评估直接下单购买，金蝶或金蝶授权的服务组织将有权拒绝提供实施服务。,金蝶软件（中国）有限公司,人工服务,41,0,,5000,￥,/次
华为云企业应用会员标准化服务,"['华为商品', '工作流', '智能制造', '', '']",华为云企业应用会员标准化服务是华为云企业应用会员订阅服务的配套产品。,华为云计算技术有限公司,人工服务,86,0,,25000,￥,/次
青软U+新工科智慧云,"['联营商品', '教育', '数字校园', '', '']",U+新工科智慧云通过信息技术与教育教学深度融合将场景落地，贯穿完整的人才培养链条，为高校提供内容、平台及服务的综合解决方案，以信息化引领构建以学习者为中心的全新教育生态。,青软创新科技集团股份有限公司,SaaS,16,0,,1200,￥,/月
达梦数据库管理系统订阅版,"['联营商品', '数据系统', '', '', '', '', '']",达梦提供全栈式数据服务：关系数据库具备兼容性和性能优势；图数据库支撑海量数据关联性分析；新云数据库深度兼容原生Redis；实时同步软件支持异构数据源双向实时同步；数据交换平台提供ETL一站式支持；图分,武汉达梦数据库股份有限公司,License,90,0,,10800,￥,/月
中望CAD平台软件,"['联营商品', '鲲鹏', '智能制造', '', '']",1.中望CAD平台软件；2.中望机械CAD设计软件；3.中望建筑CAD设计软件。,广州中望龙腾软件股份有限公司,License,273,0,,11998,￥,/次
华为CEC云客服语音通信服务,"['华为商品', '金融', '信息化管理', '', '']",云客服平台配套通信资费套餐、固话号码租用,华为技术有限公司,SaaS,34,0,,30,￥,/月
工单宝,"['华为商品', '工作流', '', '', '', '']",工单宝为各行业提供现场作业云服务，帮助企业快速上线任务工单、问题管理，及视频监控和协同功能，提供IOC看板，覆盖制造业交付与售后、门店运营、城市服务、建造工地、煤矿、电力等行业。,华为技术有限公司,SaaS,717,3,4.8,0,￥,/试用60天
华为云数字化差旅专业服务,"['华为商品', 'WeLink', '智能制造', '', '', '', '', '', '', '']",围绕华为云慧通差旅服务，提供的系统对接等人工服务，帮助客户能更好的使用差旅服务。,华为云计算技术有限公司,人工服务,217,0,,100,￥,/次
应用中间件与应用集成培训服务,"['华为商品', '培训与认证', '', '']",培养熟练使用华为云应用中间件产品/应用集成产品的工程师、企业开发者、高校开发者； 满足客户对于培养熟练使用应用中间件产品/应用集成产品的产品的人才培训诉求,华为云计算技术有限公司,人工服务,16,0,,56000,￥,/次
黑湖智造协同解决方案,"['联营商品', '智能制造']",「黑湖智造」，是一款基于云端的智能制造协同平台，支持移动端及Web端多平台登陆，主要为制造业提供计划排产、生产执行、质量管理、物料管理、可视化数据分析等协同管理功能。,上海黑湖科技有限公司,SaaS,45,0,,750,￥,/年
地理信息相关数据的合规服务,"['联营商品', '技术支持']",内外资车企开展测绘活动合规路径。在⻋联⽹市场、智能驾驶测试和⽣产环境，由于业务需要，必须处理⼤量地理信息相关数据，因此⻋企、云服务商与图商合作将为最佳途径，解决和规避具体业务场景中遇到的合规控制点,贵州宽凳智云科技有限公司,人工服务,7,0,,100,￥,/次
工单宝华为终端商用硬件解决方案-双谷,"['组合购商品', '智能制造', '教育', '', '', '', '', '', '']",工单宝+华为终端商用硬件帮助企业快速上线任务工单、问题管理，及视频监控和协同功能，提供IOC看板，覆盖制造业交付与售后、门店运营、城市服务、建造工地、煤矿、电力等行业。,华为云计算技术有限公司,SaaS,0,0,,20,￥,/起
华为工单宝-终端商用硬件解决方案,"['组合购商品', '信息化管理', '', '']",工单宝搭配华为终端硬件为各行业提供现场作业云服务，帮助企业快速上线任务工单、问题管理，及视频监控和协同功能，提供IOC看板，覆盖制造业交付与售后、门店运营,华为云计算技术有限公司,SaaS,0,0,,20,￥,/起
华为数字机器人-软件License,"['华为商品', '中间件', '', '', '', '', '', '', '', '']",华为WeAutomate RPA是一款智能化的软件，通过模拟并增强人与计算机的交互过程，实现工作流程自动化。,华为技术有限公司,License,29,0,,18000,￥,/次
华为云物联网培训服务,"['华为商品', '教育', '上云培训', '', '', '']",基于华为物联网产品与服务，提供相关的培训、认证及高校人才培养服务，助力应用华为物联网产品与技术进行综合创新的应用型人才培养。,华为云计算技术有限公司,人工服务,25,0,,214900,￥,/次
赛意迁移实施及运维服务,"['联营商品', '迁移与容灾', '', '', '', '', '', '']",赛意秉承以客户为中心的理念，专注于IT实施及服务。赛意深耕SAP、EBS和其他通用系统实施多年。目前已经完成多个本地系统迁移上云项目，构建了SAP、EBS和其他通用产品的云迁移能力。,广州赛意信息科技股份有限公司,人工服务,19,0,,6000,￥,/次
华为数字机器人-软件License SNS,"['组合购商品', '教育', '智慧零售', '', '', '']",华为WeAutomate RPA是一款智能化的软件，通过模拟并增强人与计算机的交互过程，实现工作流程自动化，商品包含软件License和SNS。,华为技术有限公司,License,0,0,,18000,￥,/起
中望3D软件平台软件V2025,"['联营商品', '数据处理', '', '', '', '']",中望3D是基于自主几何建模内核的国产三维CAD/CAE/CAM一体化解决方案，为企业提供高效工程协作环境，覆盖从概念设计到生产制造的产品开发全流程，广泛应用于机械、电子、电器、模具、汽车等行业。,广州中望龙腾软件股份有限公司,License,3,0,,42680,￥,/次
语音识别SDK鸿蒙适配服务,"['联营商品', '信息化管理', '']",我们的鸿蒙适配的语音识别SDK服务是一种先进的软件工具，专门设计用于帮助开发者在鸿蒙操作系统上快速实现语音识别功能。这项服务利用最新的人工智能技术，可以准确、实时地将用户的语音转换成文字，从而提供更便捷、自然的交互方式。,上海容大数字技术有限公司,人工服务,1,0,,2000,￥,/次
神策大数据分析和营销科技平台配套人工服务,"['联营商品', '数据采集', '数据监测']",对于采购「神策大数据分析和营销科技平台」用以数据分析的企业客户所进行的一次性产品交付落地服务。帮助客户采购产品在企业需求的实际落地，并在交付过程当中赋能客户如何更好的挖掘和使用产品,神策网络科技（北京）有限公司,人工服务,2,0,,6000,￥,/次
菊风视频能力平台开发服务,"['联营商品', '视频应用', '金融', '']",菊风视频能力平台V3.0是一个提供音视频通信能力的基础平台，为银行的各个业务系统以及业务场景赋能视频通信能力，助力银行将传统的线下业务或话音类业务向线上音视频通信，面对面可互动的业务服务形态升级，提升银行数字化服务广度和深度。,宁波菊风系统软件有限公司,人工服务,2,0,,3000,￥,/次
数据使能专业服务,"['联营商品', '零售管理', '金融', '', '', '']",软通动力数据使能专业服务主要依赖于华为云相关的产品工具，提供数据规划、数据质量控制和数据安全等服务，致力于确保数据的准确性、可用性、完整性和安全性，支持客户的战略目标和日常运营。,软通动力信息技术（集团）股份有限公司,人工服务,3,0,,10000,￥,/次
中软国际移动应用鸿蒙化专家服务,"['联营商品', '培训课程', '技术支持']",中软国际深度参与鸿蒙生态建设，提供鸿蒙原生应用开发、应用鸿蒙化迁移等专业IT服务。,中软国际科技服务有限公司,人工服务,54,0,,8400,￥,/次
鸿蒙应用定制开发服务,"['联营商品', '智能制造', '教育', '', '', '', '', '', '']",鸿蒙应用定制开发服务,深圳市讯方技术股份有限公司,人工服务,3,0,,3500,￥,/次
PCB成本核算专业服务,"['联营商品', '智能制造', '技术支持']",对PCB行业询价，智能参数提取，成本核算，报价端到端业务支持，及数字化实现,上海哥瑞利软件股份有限公司,人工服务,4,0,,4400,￥,/次
恒驰云专业服务,"['联营商品', '迁移与容灾', '', '', '', '', '', '']",恒驰云专业服务为客户提供云迁移方案设计、实施、验证等服务，并提供业务切换无感知的近平滑迁移，迁移服务包含应用迁移、数据迁移、数据库迁移、中间件等,上海恒驰信息系统有限公司,人工服务,15,0,,4000,￥,/次
百胜E3+企业中台软件独立部署,"['联营商品', '信息化管理', '', '', '']",E3+是百胜软件自主研发的新一代企业中台产品，该产品基于云原生、微服务、中台化的技术架构和设计理念，将企业内部的中台服务能力提炼封装为可供业务应用调用的共享服务中心，帮助零售企业整合、协同调度内外部组织资源，搭建数字化管理共享共创平台。,上海百胜软件股份有限公司,License,11,0,,300000,￥,/次
预付费智能合约监管方案,"['联营商品', '信息化管理', '金融', '', '']",基于数字人民币的智能合约机制，设计的针对预付费相关领域的监管方案，通过自动化、智能化的机制进行预付费的全流程管理，实现预付费的交易安全。适用于教培行业、文体健身、餐饮服务、住房租赁、旅游民宿、养老康健,深圳市趣享科技有限公司,人工服务,1,0,,5000,￥,/次
极光App工具包一键登录,"['联营商品', '智能制造', '金融', '', '', '', '', '']",整合三大运营商的网关认证能力，为开发者提供手机号码一键登录和号码认证功能，优化用户注册/登录、号码验证的流程。提升效率，提高安全性。,深圳市和讯华谷信息技术有限公司,SaaS,150,0,,按需,,
FIT2CLOUD 云管平台软件订阅服务,"['联营商品', '上云咨询', '', '']",可提供现场安装、现场培训、现场紧急救助、软件故障现场排査、二次开发和专家顾问咨询等服务。,杭州飞致云信息科技有限公司,人工服务,14,0,,8000,￥,/次
奇点云云原生数据平台配套服务,"['联营商品', '智能制造', '', '']",奇点云云原生数据平台配套服务。适用于软件产品【DataNuza消费者运营平台】、【DataSimba数据中台】，详见云市场相关产品链接。,杭州比智科技有限公司,人工服务,4,0,,6000,￥,/次
数据库咨询与开发者技术支持服务,"['组合购商品', '数据库优化', '', '']",为企业客户提供端到端的数字化转型数据库专家服务，培养数据库应用开发人才与专业认证,华为云计算技术有限公司,人工服务,0,0,,710900,￥,/起
云拿AI无人领用仓系统配套硬件,"['联营商品', '智能制造', '', '', '', '', '', '', '']",云拿AI无人领用仓/店解决方案，利用3D机器视觉、深度学习、多传感器融合技术，对线下物理空间进行数字孪生，实时追踪人的运动轨迹，识别拿放姿态、人物交互、物品品类及数量等，由此实现无感领料。领用数据、补,上海云拿智能科技有限公司,硬件,11,0,,10009,￥,/个
合力亿捷云客服配套人工服务,"['联营商品', '数据库备份', '', '', '', '', '', '']",合力云客服覆盖企业【营销服】全场景客户联络方案，包含呼叫中心、在线客服、 视频客服、工单管理等核心产品，支持电话、在线、邮件、微信等全渠道接入、为企业联络客户降本增效！,北京合力亿捷科技股份有限公司,人工服务,8,0,,5000,￥,/次
智能业务运维平台,"['联营商品', '智能制造', '金融', '', '', '', '']",云智慧智能业务运维平台，以数据为基础、以算法为支撑、以场景为导向，应用先进的实时大数据处理和机器学习技术，结合行业最佳实践经验，帮助用户建立数字化运维管理及服务体系。,云智慧（北京）科技有限公司,License,23,0,,980000,￥,/次
IStorM DR容灾运维管理平台(HCS版),"['联营商品', '信息化管理', '', '', '', '', '']",IStorM DR容灾运维管理平台，结合容灾环境一体化监控和预案定制，实现演练流程化，切换自动化、指挥可视化统一的容灾运维管理平台，多维评估，持续改进，助力提升企业IT韧性管理。,北京同创永益科技发展有限公司,License,13,0,,1206840,￥,/次
